# Time  u_x_TE  u_y_TE v_x_wake v_y_wake
3.5150000000e+00 -4.4392731908e-05 1.0249946453e-03 6.3317492219e-02 -4.2157521581e-03
3.5225000000e+00 -4.4995652111e-05 1.0234460157e-03 6.3231779891e-02 -4.2846360751e-03
3.5300000000e+00 -4.4986504920e-05 1.0217314269e-03 6.3334825610e-02 -4.2883834021e-03
3.5375000000e+00 -4.5541443710e-05 1.0201479764e-03 6.3252181812e-02 -4.3541549803e-03
3.5450000000e+00 -4.5510227927e-05 1.0180643616e-03 6.3354165158e-02 -4.3618112698e-03
3.5525000000e+00 -4.5746251563e-05 1.0164084423e-03 6.3273502930e-02 -4.4233366988e-03
3.5600000000e+00 -4.5918269998e-05 1.0140157412e-03 6.3373689473e-02 -4.4348139453e-03
3.5675000000e+00 -4.5729704961e-05 1.0122230553e-03 6.3297116664e-02 -4.4930544261e-03
3.5750000000e+00 -4.6040974437e-05 1.0096605977e-03 6.3392770223e-02 -4.5069601501e-03
3.5825000000e+00 -4.5620143946e-05 1.0075530771e-03 6.3322847149e-02 -4.5631615938e-03
3.5900000000e+00 -4.5806932232e-05 1.0050517785e-03 6.3412127955e-02 -4.5786266406e-03
3.5975000000e+00 -4.5400826719e-05 1.0024861554e-03 6.3349626756e-02 -4.6330712402e-03
3.6050000000e+00 -4.5279588241e-05 1.0000771528e-03 6.3432982100e-02 -4.6503599722e-03
3.6125000000e+00 -4.4981020913e-05 9.9720346145e-04 6.3376239746e-02 -4.7022062880e-03
3.6200000000e+00 -4.4566025510e-05 9.9463202251e-04 6.3456333209e-02 -4.7225286401e-03
3.6275000000e+00 -4.4263321423e-05 9.9174861483e-04 6.3402249139e-02 -4.7704504973e-03
3.6350000000e+00 -4.3763145167e-05 9.8878295099e-04 6.3481853166e-02 -4.7947413108e-03
3.6425000000e+00 -4.3218546454e-05 9.8601424790e-04 6.3428767728e-02 -4.8385555810e-03
3.6500000000e+00 -4.2846166494e-05 9.8266719988e-04 6.3508019779e-02 -4.8659987439e-03
3.6575000000e+00 -4.1968149052e-05 9.7991983308e-04 6.3457169963e-02 -4.9072525651e-03
3.6650000000e+00 -4.1677466720e-05 9.7635083758e-04 6.3534099362e-02 -4.9360432663e-03
3.6725000000e+00 -4.0648665486e-05 9.7348410790e-04 6.3487340447e-02 -4.9760736548e-03
3.6800000000e+00 -4.0211624526e-05 9.6983056832e-04 6.3560873652e-02 -5.0057551817e-03
3.6875000000e+00 -3.9251780885e-05 9.6675545865e-04 6.3518212333e-02 -5.0439838422e-03
3.6950000000e+00 -3.8542582638e-05 9.6308665601e-04 6.3589318207e-02 -5.0758190298e-03
3.7025000000e+00 -3.7704072876e-05 9.5977183750e-04 6.3549142955e-02 -5.1107578016e-03
3.7100000000e+00 -3.6768190579e-05 9.5609621092e-04 6.3619712547e-02 -5.1459051913e-03
3.7175000000e+00 -3.5976303982e-05 9.5255470789e-04 6.3580228355e-02 -5.1770269983e-03
3.7250000000e+00 -3.4936348013e-05 9.4886377074e-04 6.3651642672e-02 -5.2151682210e-03
3.7325000000e+00 -3.4087692717e-05 9.4509298086e-04 6.3612179294e-02 -5.2435986799e-03
3.7400000000e+00 -3.3043974663e-05 9.4141381895e-04 6.3684267627e-02 -5.2828882111e-03
3.7475000000e+00 -3.2109574114e-05 9.3741139168e-04 6.3645719116e-02 -5.3108313137e-03
3.7550000000e+00 -3.1045606793e-05 9.3370203568e-04 6.3717304287e-02 -5.3491576253e-03
3.7625000000e+00 -3.0115903219e-05 9.2961144395e-04 6.3680531641e-02 -5.3780041397e-03
3.7700000000e+00 -2.8948880730e-05 9.2566220879e-04 6.3751600598e-02 -5.4151209379e-03
3.7775000000e+00 -2.8092778971e-05 9.2171275646e-04 6.3715614189e-02 -5.4438119476e-03
3.7850000000e+00 -2.6850138917e-05 9.1737118244e-04 6.3787903410e-02 -5.4817217621e-03
3.7925000000e+00 -2.5992451298e-05 9.1356967904e-04 6.3750820043e-02 -5.5079403092e-03
3.8000000000e+00 -2.4817380146e-05 9.0897654310e-04 6.3825748586e-02 -5.5485025437e-03
3.8075000000e+00 -2.3840723194e-05 9.0508937349e-04 6.3787002598e-02 -5.5713119498e-03
3.8150000000e+00 -2.2837382301e-05 9.0047622848e-04 6.3864228941e-02 -5.6144016185e-03
3.8225000000e+00 -2.1713502193e-05 8.9635264817e-04 6.3824818309e-02 -5.6346875473e-03
3.8300000000e+00 -2.0872032175e-05 8.9177786654e-04 6.3903050647e-02 -5.6790642395e-03
3.8375000000e+00 -1.9686712356e-05 8.8743730735e-04 6.3864175534e-02 -5.6979692069e-03
3.8450000000e+00 -1.8888498310e-05 8.8286344525e-04 6.3942613431e-02 -5.7428329236e-03
