# Time  F_D  F_L p_front p_back
3.6125000000e+00 4.1015252718e-03 -1.0225325366e-02 1.6136153526e-02 9.9759591527e-03
3.6200000000e+00 -3.6570942633e-03 9.6053195000e-03 -1.5350200598e-02 -1.2010201285e-02
3.6275000000e+00 4.0242825956e-03 -9.7793773844e-03 1.6657502663e-02 1.0642111486e-02
3.6350000000e+00 -3.5795938329e-03 9.1268997671e-03 -1.5544608421e-02 -1.2368608456e-02
3.6425000000e+00 3.9506015297e-03 -9.3145104397e-03 1.6519025736e-02 1.0735317553e-02
3.6500000000e+00 -3.5060450019e-03 8.7256575412e-03 -1.5484029211e-02 -1.2527337049e-02
3.6575000000e+00 3.8806806628e-03 -8.9994469293e-03 1.6544825932e-02 1.1002380527e-02
3.6650000000e+00 -3.4361833362e-03 8.4983295078e-03 -1.5867182467e-02 -1.3096965723e-02
3.6725000000e+00 3.8145671593e-03 -8.8239117358e-03 1.7121723800e-02 1.1752638763e-02
3.6800000000e+00 -3.3704480931e-03 8.3295384110e-03 -1.6718240637e-02 -1.4050971824e-02
3.6875000000e+00 3.7526808434e-03 -8.6089871128e-03 1.7984656861e-02 1.2702867058e-02
3.6950000000e+00 -3.3083743420e-03 8.0422861403e-03 -1.7594519764e-02 -1.4964722520e-02
3.7025000000e+00 3.6931710383e-03 -8.2436874393e-03 1.8617829964e-02 1.3391856663e-02
3.7100000000e+00 -3.2468656600e-03 7.6278398348e-03 -1.7987937985e-02 -1.5414622868e-02
3.7175000000e+00 3.6320473270e-03 -7.8200241287e-03 1.8605524815e-02 1.3501533976e-02
3.7250000000e+00 -3.1815626634e-03 7.2470269786e-03 -1.7670702538e-02 -1.5257283927e-02
3.7325000000e+00 3.5647255063e-03 -7.5211083460e-03 1.7981577979e-02 1.3111068381e-02
3.7400000000e+00 -3.1083006402e-03 7.0589900395e-03 -1.6939932326e-02 -1.4781586375e-02
3.7475000000e+00 3.4888197340e-03 -7.4425268765e-03 1.7211094765e-02 1.2626052492e-02
3.7550000000e+00 -3.0283223988e-03 7.0667934315e-03 -1.6263675999e-02 -1.4363863219e-02
3.7625000000e+00 3.4103096603e-03 -7.4837637788e-03 1.6610547807e-02 1.2264548419e-02
