# Time  u_x_TE  u_y_TE
3.9740000000e+01 5.3814935813e-09 3.3537312987e-06
3.9745000000e+01 4.6998355628e-09 3.3108616064e-06
3.9750000000e+01 4.0053087422e-09 3.2690572492e-06
3.9755000000e+01 3.4373714719e-09 3.2295475455e-06
3.9760000000e+01 3.1090831803e-09 3.1933367439e-06
3.9765000000e+01 3.0826357550e-09 3.1610048398e-06
3.9770000000e+01 3.3545622943e-09 3.1325990829e-06
3.9775000000e+01 3.8552144684e-09 3.1076411881e-06
3.9780000000e+01 4.4641080208e-09 3.0852503581e-06
3.9785000000e+01 5.0377399682e-09 3.0643553333e-06
3.9790000000e+01 5.4422900322e-09 3.0439473172e-06
3.9795000000e+01 5.5827513312e-09 3.0233164695e-06
3.9800000000e+01 5.4224199521e-09 3.0022199750e-06
3.9805000000e+01 4.9899876752e-09 2.9809464758e-06
3.9810000000e+01 4.3737098440e-09 2.9602643482e-06
3.9815000000e+01 3.7033618571e-09 2.9412649742e-06
3.9820000000e+01 3.1224614582e-09 2.9251336278e-06
3.9825000000e+01 2.7561010719e-09 2.9128968638e-06
3.9830000000e+01 2.6822227032e-09 2.9052023948e-06
3.9835000000e+01 2.9140477890e-09 2.9021816581e-06
3.9840000000e+01 3.3980191050e-09 2.9034263743e-06
3.9845000000e+01 4.0267947826e-09 2.9080833222e-06
3.9850000000e+01 4.6631427531e-09 2.9150444708e-06
3.9855000000e+01 5.1691993153e-09 2.9231897279e-06
3.9860000000e+01 5.4356473704e-09 2.9316301198e-06
3.9865000000e+01 5.4055661017e-09 2.9399000025e-06
3.9870000000e+01 5.0878180868e-09 2.9480567956e-06
3.9875000000e+01 4.5560233534e-09 2.9566650181e-06
3.9880000000e+01 3.9323337321e-09 2.9666663014e-06
3.9885000000e+01 3.3596260678e-09 2.9791636675e-06
3.9890000000e+01 2.9692547419e-09 2.9951691259e-06
3.9895000000e+01 2.8523452747e-09 3.0153718240e-06
3.9900000000e+01 3.0407650283e-09 3.0399776458e-06
3.9905000000e+01 3.5009126823e-09 3.0686536461e-06
3.9910000000e+01 4.1408798206e-09 3.1005878729e-06
3.9915000000e+01 4.8296627645e-09 3.1346517710e-06
3.9920000000e+01 5.4252323026e-09 3.1696314227e-06
3.9925000000e+01 5.8060178475e-09 3.2044782495e-06
3.9930000000e+01 5.8985481610e-09 3.2385234876e-06
3.9935000000e+01 5.6941345901e-09 3.2716074385e-06
3.9940000000e+01 5.2502863857e-09 3.3040941157e-06
3.9945000000e+01 4.6769957245e-09 3.3367691909e-06
3.9950000000e+01 4.1119942651e-09 3.3706457514e-06
3.9955000000e+01 3.6910048570e-09 3.4067214178e-06
3.9960000000e+01 3.5189713844e-09 3.4457389577e-06
3.9965000000e+01 3.6474560056e-09 3.4880010758e-06
3.9970000000e+01 4.0626584127e-09 3.5332795849e-06
3.9975000000e+01 4.6873679285e-09 3.5808403848e-06
3.9980000000e+01 5.3975798139e-09 3.6295805609e-06
3.9985000000e+01 6.0505092791e-09 3.6782476538e-06
3.9990000000e+01 6.5170016190e-09 3.7256913322e-06
3.9995000000e+01 6.7100252994e-09 3.7710906444e-06
4.0000000000e+01 6.6027578823e-09 3.8141072150e-06
4.0005000000e+01 6.2333210691e-09 3.8549326391e-06
4.0010000000e+01 5.6963269130e-09 3.8942212220e-06
4.0015000000e+01 5.1231418370e-09 3.9329224978e-06
4.0020000000e+01 4.6540127533e-09 3.9720485934e-06
4.0025000000e+01 4.4070375887e-09 4.0124264239e-06
4.0030000000e+01 4.4509854991e-09 4.0544899276e-06
4.0035000000e+01 4.7892814582e-09 4.0981598185e-06
4.0040000000e+01 5.3596957212e-09 4.1428381903e-06
4.0045000000e+01 6.0493400155e-09 4.1875181791e-06
4.0050000000e+01 6.7201978910e-09 4.2309828067e-06
4.0055000000e+01 7.2387215946e-09 4.2720487000e-06
4.0060000000e+01 7.5037317159e-09 4.3098023995e-06
4.0065000000e+01 7.4680303144e-09 4.3437791696e-06
4.0070000000e+01 7.1496120192e-09 4.3740455561e-06
4.0075000000e+01 6.6290143071e-09 4.4011663425e-06
4.0080000000e+01 6.0318679610e-09 4.4260616574e-06
4.0085000000e+01 5.5001466831e-09 4.4497855766e-06
4.0090000000e+01 5.1596762838e-09 4.4732763824e-06
4.0095000000e+01 5.0924845561e-09 4.4971348511e-06
4.0195000000e+01 5.3200834380e-09 4.5214791491e-06
4.0200000000e+01 5.7999165954e-09 4.5459066052e-06
4.0205000000e+01 6.4344553884e-09 4.5695693888e-06
4.0210000000e+01 7.0912360727e-09 4.5913477971e-06
4.0215000000e+01 7.6309844982e-09 4.6100847392e-06
4.0220000000e+01 7.9387146695e-09 4.6248310944e-06
4.0225000000e+01 7.9503670875e-09 4.6350475235e-06
4.0230000000e+01 7.6675493384e-09 4.6407167811e-06
4.0235000000e+01 7.1563585331e-09 4.6423409864e-06
4.0240000000e+01 6.5314322474e-09 4.6408253434e-06
4.0245000000e+01 5.9302928385e-09 4.6372756266e-06
4.0250000000e+01 5.4841167874e-09 4.6327547023e-06
4.0255000000e+01 5.2902492189e-09 4.6280505287e-06
4.0260000000e+01 5.3910514530e-09 4.6235048585e-06
4.0265000000e+01 5.7635303490e-09 4.6189396749e-06
4.0270000000e+01 6.3232677991e-09 4.6136986749e-06
4.0275000000e+01 6.9430556289e-09 4.6067962587e-06
4.0280000000e+01 7.4820403727e-09 4.5971415240e-06
4.0285000000e+01 7.8176467974e-09 4.5837866228e-06
4.0290000000e+01 7.8722001979e-09 4.5661433691e-06
4.0295000000e+01 7.6287553543e-09 4.5441205370e-06
4.0300000000e+01 7.1340041945e-09 4.5181533017e-06
4.0305000000e+01 6.4884766061e-09 4.4891198327e-06
4.0310000000e+01 5.8256425826e-09 4.4581631167e-06
4.0315000000e+01 5.2832124416e-09 4.4264554497e-06
4.0320000000e+01 4.9723184152e-09 4.3949560195e-06
4.0325000000e+01 4.9520422379e-09 4.3642153027e-06
4.0330000000e+01 5.2160928058e-09 4.3342709149e-06
4.0335000000e+01 5.6949644968e-09 4.3046587343e-06
4.0340000000e+01 6.2722951573e-09 4.2745359085e-06
4.0345000000e+01 6.8107146423e-09 4.2428868123e-06
4.0350000000e+01 7.1812671434e-09 4.2087658335e-06
4.0355000000e+01 7.2908009650e-09 4.1715247046e-06
4.0360000000e+01 7.1023156569e-09 4.1309762354e-06
4.0365000000e+01 6.6438960415e-09 4.0874590159e-06
4.0370000000e+01 6.0033966191e-09 4.0417875603e-06
4.0375000000e+01 5.3091532148e-09 3.9950971164e-06
4.0380000000e+01 4.7009877797e-09 3.9486169748e-06
4.0385000000e+01 4.2987718824e-09 3.9034235413e-06
4.0390000000e+01 4.1762633291e-09 3.8602289211e-06
4.0395000000e+01 4.3458388698e-09 3.8192512512e-06
4.0400000000e+01 4.7565577711e-09 3.7801934523e-06
