# Time  v_x_wake  v_y_wake
5.6350000000e+01 1.0022144022e-01 -3.2603180141e-03
5.6355000000e+01 1.0021049509e-01 -3.2743816854e-03
5.6360000000e+01 1.0019958134e-01 -3.2886828009e-03
5.6365000000e+01 1.0018902071e-01 -3.3030425076e-03
5.6370000000e+01 1.0017849651e-01 -3.3176451948e-03
5.6375000000e+01 1.0016833014e-01 -3.3323122429e-03
5.6380000000e+01 1.0015820713e-01 -3.3472213502e-03
5.6385000000e+01 1.0014844460e-01 -3.3621880516e-03
5.6390000000e+01 1.0013872766e-01 -3.3773824618e-03
5.6395000000e+01 1.0012937012e-01 -3.3926183489e-03
5.6400000000e+01 1.0012006070e-01 -3.4080645096e-03
5.6405000000e+01 1.0011111321e-01 -3.4235374720e-03
5.6410000000e+01 1.0010221904e-01 -3.4392070653e-03
5.6415000000e+01 1.0009368833e-01 -3.4548943457e-03
5.6420000000e+01 1.0008521344e-01 -3.4707736392e-03
5.6425000000e+01 1.0007710306e-01 -3.4866737644e-03
5.6430000000e+01 1.0006905368e-01 -3.5027713263e-03
5.6435000000e+01 1.0006137346e-01 -3.5188966170e-03
5.6440000000e+01 1.0005376044e-01 -3.5352222493e-03
5.6445000000e+01 1.0004651766e-01 -3.5515744427e-03
5.6450000000e+01 1.0003934335e-01 -3.5681204616e-03
5.6455000000e+01 1.0003253868e-01 -3.5846833754e-03
5.6460000000e+01 1.0002580541e-01 -3.6014245477e-03
5.6465000000e+01 1.0001944348e-01 -3.6181652224e-03
5.6470000000e+01 1.0001315569e-01 -3.6350651138e-03
5.6475000000e+01 1.0000723804e-01 -3.6519498574e-03
5.6480000000e+01 1.0000139495e-01 -3.6689832923e-03
5.6485000000e+01 9.9995922315e-02 -3.6859979410e-03
5.6490000000e+01 9.9990529267e-02 -3.7031613454e-03
5.6495000000e+01 9.9985510175e-02 -3.7203099067e-03
5.6500000000e+01 9.9980574801e-02 -3.7376116451e-03
5.6505000000e+01 9.9976013369e-02 -3.7549039610e-03
5.6510000000e+01 9.9971536773e-02 -3.7723498827e-03
5.6515000000e+01 9.9967434399e-02 -3.7897825211e-03
5.6520000000e+01 9.9963420422e-02 -3.8073581206e-03
5.6525000000e+01 9.9959781297e-02 -3.8249059018e-03
5.6530000000e+01 9.9956230966e-02 -3.8425788224e-03
5.6535000000e+01 9.9953052252e-02 -3.8602070677e-03
5.6540000000e+01 9.9949961775e-02 -3.8779438863e-03
5.6545000000e+01 9.9947242656e-02 -3.8956240702e-03
5.6550000000e+01 9.9944615550e-02 -3.9134055109e-03
5.6555000000e+01 9.9942361350e-02 -3.9311303089e-03
5.6560000000e+01 9.9940200774e-02 -3.9489596233e-03
5.6565000000e+01 9.9938411881e-02 -3.9667382606e-03
5.6570000000e+01 9.9936718321e-02 -3.9846251023e-03
5.6575000000e+01 9.9935397664e-02 -4.0024629789e-03
5.6580000000e+01 9.9934175758e-02 -4.0204058770e-03
5.6585000000e+01 9.9933326331e-02 -4.0382933773e-03
5.6590000000e+01 9.9932574385e-02 -4.0562725995e-03
5.6595000000e+01 9.9932190780e-02 -4.0741793796e-03
5.6600000000e+01 9.9931903975e-02 -4.0921583898e-03
5.6605000000e+01 9.9931984908e-02 -4.1100486660e-03
5.6610000000e+01 9.9932164384e-02 -4.1279985406e-03
5.6615000000e+01 9.9932710308e-02 -4.1458536606e-03
5.6620000000e+01 9.9933354201e-02 -4.1637654434e-03
5.6625000000e+01 9.9934362397e-02 -4.1815837663e-03
5.6630000000e+01 9.9935470604e-02 -4.1994626052e-03
5.6635000000e+01 9.9936944776e-02 -4.2172546714e-03
5.6640000000e+01 9.9938521489e-02 -4.2351113899e-03
5.6645000000e+01 9.9940462379e-02 -4.2528814487e-03
5.6650000000e+01 9.9942503893e-02 -4.2707082249e-03
5.6655000000e+01 9.9944905885e-02 -4.2884358475e-03
5.6660000000e+01 9.9947408184e-02 -4.3062038301e-03
5.6665000000e+01 9.9950269738e-02 -4.3238572150e-03
5.6670000000e+01 9.9953231194e-02 -4.3415349927e-03
5.6675000000e+01 9.9956547756e-02 -4.3590841685e-03
5.6680000000e+01 9.9959961795e-02 -4.3766467055e-03
5.6685000000e+01 9.9963728559e-02 -4.3940769068e-03
5.6690000000e+01 9.9967594462e-02 -4.4115221033e-03
5.6695000000e+01 9.9971813900e-02 -4.4288422809e-03
5.6700000000e+01 9.9976133515e-02 -4.4461834454e-03
5.6705000000e+01 9.9980803600e-02 -4.4634030358e-03
5.6710000000e+01 9.9985572045e-02 -4.4806424920e-03
5.6715000000e+01 9.9990688461e-02 -4.4977566308e-03
5.6720000000e+01 9.9995903504e-02 -4.5148820119e-03
5.6725000000e+01 1.0000146429e-01 -4.5318695473e-03
5.6730000000e+01 1.0000712117e-01 -4.5488505042e-03
5.6735000000e+01 1.0001311790e-01 -4.5656756924e-03
5.6740000000e+01 1.0001920718e-01 -4.5824784544e-03
5.6745000000e+01 1.0002563361e-01 -4.5991170009e-03
5.6750000000e+01 1.0003215343e-01 -4.6157297583e-03
5.6755000000e+01 1.0003900904e-01 -4.6321794155e-03
5.6760000000e+01 1.0004595693e-01 -4.6486061163e-03
5.6765000000e+01 1.0005323685e-01 -4.6648754259e-03
5.6770000000e+01 1.0006060767e-01 -4.6811268544e-03
5.6775000000e+01 1.0006830912e-01 -4.6972253804e-03
5.6780000000e+01 1.0007610192e-01 -4.7133042187e-03
5.6785000000e+01 1.0008422202e-01 -4.7292220909e-03
5.6790000000e+01 1.0009242937e-01 -4.7451058522e-03
5.6795000000e+01 1.0010095748e-01 -4.7608129663e-03
5.6800000000e+01 1.0010956935e-01 -4.7764698786e-03
5.6805000000e+01 1.0011849869e-01 -4.7919368278e-03
5.6810000000e+01 1.0012751087e-01 -4.8073422490e-03
5.6815000000e+01 1.0013683672e-01 -4.8225514198e-03
5.6820000000e+01 1.0014624199e-01 -4.8376972681e-03
5.6825000000e+01 1.0015595661e-01 -4.8526517638e-03
5.6830000000e+01 1.0016574992e-01 -4.8675501362e-03
5.6835000000e+01 1.0017585145e-01 -4.8822644057e-03
5.6840000000e+01 1.0018603141e-01 -4.8969254601e-03
5.6845000000e+01 1.0019651527e-01 -4.9114017839e-03
5.6850000000e+01 1.0020707288e-01 -4.9258185057e-03
5.6855000000e+01 1.0021792822e-01 -4.9400407349e-03
5.6860000000e+01 1.0022885438e-01 -4.9541890877e-03
5.6865000000e+01 1.0024007445e-01 -4.9681270161e-03
5.6870000000e+01 1.0025136209e-01 -4.9819747568e-03
5.6875000000e+01 1.0026293742e-01 -4.9956007548e-03
5.6880000000e+01 1.0027457537e-01 -5.0091296278e-03
5.6885000000e+01 1.0028649620e-01 -5.0224361911e-03
5.6890000000e+01 1.0029847884e-01 -5.0356485625e-03
5.6895000000e+01 1.0031074264e-01 -5.0486450750e-03
5.6900000000e+01 1.0032306654e-01 -5.0615539495e-03
5.6905000000e+01 1.0033566629e-01 -5.0742530703e-03
5.6910000000e+01 1.0034832180e-01 -5.0868660571e-03
5.6915000000e+01 1.0036124818e-01 -5.0992658427e-03
5.6920000000e+01 1.0037422785e-01 -5.1115694888e-03
5.6925000000e+01 1.0038747386e-01 -5.1236472857e-03
5.6930000000e+01 1.0040076806e-01 -5.1356135767e-03
5.6935000000e+01 1.0041432046e-01 -5.1473396354e-03
5.6940000000e+01 1.0042791537e-01 -5.1589414484e-03
5.6945000000e+01 1.0044176348e-01 -5.1702949530e-03
5.6950000000e+01 1.0045565229e-01 -5.1815209144e-03
5.6955000000e+01 1.0046979096e-01 -5.1925023997e-03
5.6960000000e+01 1.0048396679e-01 -5.2033628775e-03
5.6965000000e+01 1.0049838647e-01 -5.2139870000e-03
5.6970000000e+01 1.0051283968e-01 -5.2244955804e-03
5.6975000000e+01 1.0052753305e-01 -5.2347708651e-03
5.6980000000e+01 1.0054225778e-01 -5.2449289994e-03
5.6985000000e+01 1.0055721714e-01 -5.2548482357e-03
5.6990000000e+01 1.0057220160e-01 -5.2646389831e-03
5.6995000000e+01 1.0058741206e-01 -5.2741761997e-03
5.7000000000e+01 1.0060264179e-01 -5.2835684946e-03
5.7005000000e+01 1.0061809238e-01 -5.2926950661e-03
5.7010000000e+01 1.0063355900e-01 -5.3016688088e-03
5.7015000000e+01 1.0064924067e-01 -5.3103746780e-03
5.7020000000e+01 1.0066493309e-01 -5.3189291371e-03
5.7025000000e+01 1.0068083430e-01 -5.3272209039e-03
5.7030000000e+01 1.0069674327e-01 -5.3353682071e-03
5.7035000000e+01 1.0071285800e-01 -5.3432619586e-03
5.7040000000e+01 1.0072897805e-01 -5.3510173714e-03
5.7045000000e+01 1.0074529756e-01 -5.3585205463e-03
5.7050000000e+01 1.0076161567e-01 -5.3658791337e-03
5.7055000000e+01 1.0077812539e-01 -5.3729751077e-03
5.7060000000e+01 1.0079462864e-01 -5.3799132112e-03
5.7065000000e+01 1.0081131786e-01 -5.3865763528e-03
5.7070000000e+01 1.0082799564e-01 -5.3930697015e-03
5.7075000000e+01 1.0084485148e-01 -5.3992788012e-03
5.7080000000e+01 1.0086168916e-01 -5.4053119683e-03
5.7085000000e+01 1.0087869868e-01 -5.4110619387e-03
5.7090000000e+01 1.0089568743e-01 -5.4166425573e-03
5.7095000000e+01 1.0091284458e-01 -5.4219503370e-03
5.7100000000e+01 1.0092997754e-01 -5.4270977417e-03
5.7105000000e+01 1.0094727213e-01 -5.4319784160e-03
5.7110000000e+01 1.0096453642e-01 -5.4366997687e-03
5.7115000000e+01 1.0098195588e-01 -5.4411527429e-03
5.7120000000e+01 1.0099934101e-01 -5.4454402849e-03
5.7125000000e+01 1.0101687520e-01 -5.4494494454e-03
5.7130000000e+01 1.0103436840e-01 -5.4532790477e-03
5.7135000000e+01 1.0105200153e-01 -5.4568168974e-03
5.7140000000e+01 1.0106958652e-01 -5.4601648211e-03
5.7145000000e+01 1.0108730527e-01 -5.4632177174e-03
5.7150000000e+01 1.0110497285e-01 -5.4660824414e-03
5.7155000000e+01 1.0112276957e-01 -5.4686582825e-03
5.7160000000e+01 1.0114051030e-01 -5.4710533277e-03
5.7165000000e+01 1.0115837319e-01 -5.4731688792e-03
5.7170000000e+01 1.0117617527e-01 -5.4751125116e-03
5.7175000000e+01 1.0119409463e-01 -5.4767833266e-03
5.7180000000e+01 1.0121194969e-01 -5.4782827617e-03
5.7185000000e+01 1.0122991563e-01 -5.4795043362e-03
